book_title,book_authors,book_format,book_isbn,book_pages,book_rating,book_rating_count
David Copperfield,Charles Dickens|Jeremy Tambling,Paperback,978315741324,882 ,3.97,177486
Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire|Douglas Smith,Paperback,978315741325,406 ,3.52,538651
Thirteen Reasons Why,Jay Asher,Hardcover,978315741326,288 ,3.98,655965
A Storm of Swords,George R.R. Martin,Mass Market Paperback,978315741327,1177 ,4.54,576139
Shōgun,James Clavell,Paperback,978315741328,1152 ,4.38,127412
The Other Boleyn Girl,Philippa Gregory,Paperback,978315741329,661 ,4.05,419008
Extremely Loud and Incredibly Close,Jonathan Safran Foer,Paperback,978315741330,326 ,3.97,346950
Schindler's List,Thomas Keneally,Paperback,978315741331,429 ,4.34,117770
Last Sacrifice,Richelle Mead,Hardcover,978315741332,594 ,4.41,239272
Fallen,Lauren Kate,Hardcover,978315741333,452 ,3.73,437542
His Dark Materials,Philip Pullman|Peter Bailey,Capa comum,978315741334,1088 ,4.26,109323
A Little Princess,Frances Hodgson Burnett|Nancy Bond,Paperback,978315741335,242 ,4.19,245610
A Confederacy of Dunces,John Kennedy Toole|Walker Percy,Paperback,978315741336,416 ,3.89,202695
The Sun Also Rises,Ernest Hemingway,Paperback,978315741337,189 ,3.82,326894
The Secret Magdalene,Ki Longfellow,Hardcover,978315741338,448 ,4.21,3373
Spirit Bound,Richelle Mead,Hardcover,978315741339,489 ,4.36,245055
Jurassic Park,Michael Crichton,Mass Market Paperback,978315741340,399 ,3.99,704703
The Boy in the Striped Pajamas,John Boyne,Hardcover,978315741341,224 ,4.12,385213
The Velveteen Rabbit,Margery Williams Bianco|William   Nicholson,Paperback,978315741342,40 ,4.29,199680
Beloved,Toni Morrison,Paperback,978315741343,324 ,3.79,268589
The Silmarillion,J.R.R. Tolkien|Christopher Tolkien|Ted Nasmith,Hardcover,978315741344,386 ,3.9,179215
Murder on the Orient Express,Agatha Christie,Paperback,978315741345,322 ,4.16,266126
Cat's Cradle,Kurt Vonnegut,Paperback,978315741346,306 ,4.17,299716
The Crucible,Arthur Miller|Christopher Bigsby,Paperback,978315741347,143 ,3.56,277010
Girl with a Pearl Earring,Tracy Chevalier,Paperback,978315741348,233 ,3.86,549984
Shiver,Maggie Stiefvater,Hardcover,978315741349,390 ,3.77,394321
A Light in the Attic,Shel Silverstein,Hardcover,978315741350,176 ,4.34,335025
The Hiding Place: The Triumphant True Story of Corrie Ten Boom,Corrie ten Boom|John Sherrill|Elizabeth Sherrill,Paperback,978315741351,242 ,4.41,211734
She's Come Undone,Wally Lamb,Mass Market Paperback,978315741352,465 ,3.86,284755
The Iliad/The Odyssey,Homer|Robert Fagles|Bernard Knox,Paperback,978315741353,1556 ,4.03,56049
The Trial,Franz Kafka|Willa Muir|Edwin Muir|Max Brod,Paperback,978315741354,255 ,3.99,185592
The Lost Hero,Rick Riordan,Hardcover,978315741355,557 ,4.35,533939
The Wind in the Willows,Kenneth Grahame|Gillian Avery,Paperback,978315741356,256 ,3.98,156174
The Night Circus,Erin Morgenstern,Hardcover,978315741357,387 ,4.04,537804
The God of Small Things,Arundhati Roy,Hardcover,978315741358,340 ,3.93,203996
The Screwtape Letters,C.S. Lewis,Hardcover,978315741359,223 ,4.21,272938
Marley and Me: Life and Love With the World's Worst Dog,John Grogan,Hardcover,978315741360,291 ,4.13,412535
Clockwork Prince,Cassandra Clare,Hardcover,978315741361,502 ,4.45,380060
The Silence of the Lambs,Thomas   Harris,Paperback,978315741362,338 ,4.17,393567
City of Fallen Angels,Cassandra Clare,Hardcover,978315741363,424 ,4.15,411196
Uglies,Scott Westerfeld,Paperback,978315741364,425 ,3.86,503415
The Selection,Kiera Cass,Hardcover,978315741365,336 ,4.14,670488
The Phantom of the Opera,Gaston Leroux|Alexander Teixeira de Mattos,Paperback,978315741366,360 ,3.97,175180
